"Date","Time","At","Opponent","Location","Result","Combined Score","Team Score","Opponent Score","Tournament","Year","Conference","OpponentID","LocationID","ConferenceID"
"Jan 29 (Fri)","3:00 PM","Home","Oklahoma","ACC-Disney Blast Orlando","L","9-10","9","10","",1999,"",10002,30001,NA
"Jan 30 (Sat)","7:00 PM","Home","Jacksonville","ACC-Disney Blast Orlando","L","2-12","2","12","",1999,"",10003,30001,NA
"Feb 13 (Sat)","12:00 PM","Away","Elon","Elon College, N.C.","W","14-3","14","3","",1999,"",10004,30002,NA
"Feb 13 (Sat)","3:00 PM","Away","Elon","Elon College, N.C.","W","8-3","8","3","",1999,"",10004,30002,NA
"Feb 14 (Sun)","1:00 PM","Away","Elon","Elon College, N.C.","W","3-2","3","2","",1999,"",10004,30002,NA
"Feb 21 (Sun)","1:00 PM","Away","Nc Greensboro","UNC-Greensboro","L","4-7","4","7","",1999,"",10005,30003,NA
"Mar 2 (Tue)","2:30 PM","Away","James Madison","James Madison","T","3-3","3","3","",1999,"",10006,30004,NA
"Mar 12 (Fri)","4:00 PM","Away","Va Commonwealth","VCU","L","3-4","3","4","",1999,"",10007,30005,NA
"Mar 17 (Wed)","3:00 PM","Home","Howard","Maryland","W","15-7","15","7","",1999,"",10008,30006,NA
"Mar 19 (Fri)","3:00 PM","Home","Clemson","Maryland","L","6-8","6","8","",1999,"",10009,30006,NA
"Mar 20 (Sat)","2:00 PM","Home","Clemson","Maryland","L","2-9","2","9","",1999,"",10009,30006,NA
"Mar 23 (Tue)","3:00 PM","Away","Nc Asheville","UNC-Asheville","L","5-6","5","6","",1999,"",10010,30007,NA
"Mar 24 (Wed)","3:00 PM","Away","Nc Asheville","UNC-Asheville","W","14-7","14","7","",1999,"",10010,30007,NA
"Mar 26 (Fri)","7:00 PM","Away","Georgia Tech","Georgia Tech","L","3-11","3","11","",1999,"",10011,30008,NA
"Mar 27 (Sat)","7:00 PM","Away","Georgia Tech","Georgia Tech","L","1-5","1","5","",1999,"",10011,30008,NA
"Mar 31 (Wed)","3:00 PM","Home","Coppin State","Maryland","W","28-2","28","2","",1999,"",10012,30006,NA
"Apr 2 (Fri)","3:00 PM","Away","Duke","Duke","W","12-5","12","5","",1999,"",10013,30009,NA
"Apr 3 (Sat)","2:00 PM","Away","Duke","Duke","W","21-13","21","13","",1999,"",10013,30009,NA
"Apr 4 (Sun)","1:00 PM","Away","Duke","Duke","W","15-12","15","12","",1999,"",10013,30009,NA
"Apr 6 (Tue)","3:00 PM","Home","Howard","Maryland","W","10-5","10","5","",1999,"",10008,30006,NA
"Apr 6 (Tue)","6:00 PM","Home","Howard","Howard","W","14-2","14","2","",1999,"",10008,30010,NA
